диоктилфталат_на_бумаге_3_мкл_SID0006;0.0;1.0;0.0;1.0;1.0;1.0;2.0;1.0;3.0;3.0;3.0;3.0;4.0;4.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;6.0;5.0;6.0;6.0;6.0;6.0;7.0;6.0;7.0;7.0;7.0;7.0;8.0;7.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;9.0;9.0;8.0;8.0;9.0;9.0;9.0;9.0;10.0;10.0;10.0;10.0;10.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;12.0;12.0;12.0;13.0;13.0;13.0;14.0;14.0;14.0;14.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;16.0;16.0;16.0;16.0;16.0;16.0;15.0;15.0;16.0;16.0;16.0;15.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;17.0;17.0;17.0;17.0;17.0;16.0;17.0;17.0;16.0;17.0;17.0;16.0;16.0;16.0;16.0
диоктилфталат_на_бумаге_3_мкл_SID0007;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-2.0;-2.0;-2.0;-2.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-2.0;-2.0;-2.0;-2.0;-1.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
диоктилфталат_на_бумаге_3_мкл_SID0008;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;4.0;4.0;3.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;4.0;5.0;5.0;4.0;4.0;5.0;5.0;5.0;5.0;5.0;6.0;6.0;6.0;7.0;6.0;6.0;7.0;7.0;7.0;8.0;8.0;7.0;8.0;7.0;8.0;8.0;7.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;7.0;7.0;7.0;7.0;7.0;8.0;9.0;9.0;8.0;8.0;8.0;8.0;8.0;9.0;8.0;8.0;9.0;9.0;8.0;9.0;9.0;9.0;9.0;9.0;8.0;8.0;9.0;8.0;8.0;9.0
диоктилфталат_на_бумаге_5_мкл_SID0001;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0;3.0;3.0;3.0;2.0;3.0;3.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;5.0;6.0;6.0;5.0;6.0;6.0;6.0;6.0;5.0;5.0;6.0;6.0;5.0;5.0;6.0;6.0;6.0;7.0;6.0;6.0;6.0;7.0;6.0;6.0;6.0;7.0;7.0;7.0;8.0;8.0;8.0;8.0;9.0;10.0;9.0;9.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;12.0;11.0;11.0;11.0;11.0;11.0;11.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;13.0
диоктилфталат_на_бумаге_5_мкл_SID0002;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;3.0;3.0;3.0;2.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;3.0;4.0;3.0;4.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;5.0;6.0;6.0;6.0;6.0;5.0;6.0;6.0;5.0;6.0;5.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;7.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0
диоктилфталат_на_бумаге_5_мкл_SID0003;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;4.0;3.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;5.0;5.0;4.0;5.0;4.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;5.0;6.0;5.0;6.0;6.0;6.0;6.0;7.0;7.0;7.0;7.0;7.0;8.0;8.0;8.0;8.0;8.0;8.0;9.0;8.0;8.0;9.0;8.0;9.0;8.0;9.0;8.0;9.0;9.0;8.0;8.0;8.0;9.0;8.0;8.0;9.0;9.0;9.0;8.0;9.0;9.0;9.0;9.0;9.0;9.0;10.0;9.0;10.0;9.0;9.0;9.0;9.0;10.0
диоктилфталат_на_бумаге_5_мкл_SID0004;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;4.0;3.0;4.0;3.0;4.0;4.0;4.0;4.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;5.0;5.0;6.0;5.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;7.0;6.0;7.0;6.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;8.0;7.0;8.0;8.0;8.0;8.0;8.0;9.0;9.0;9.0;10.0;10.0;10.0;10.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;12.0;11.0;11.0;11.0;11.0;12.0;11.0;11.0;11.0;12.0;11.0;11.0;12.0;12.0;11.0;11.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0
диоктилфталат_на_бумаге_5_мкл_SID0005;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;-1.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;4.0;4.0;4.0;4.0;5.0;5.0;6.0;6.0;7.0;7.0;7.0;7.0;7.0;7.0;8.0;8.0;8.0;8.0;9.0;9.0;10.0;9.0;10.0;10.0;10.0;10.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;12.0;12.0;11.0;12.0;12.0;12.0;13.0;13.0;12.0;13.0;14.0;13.0;13.0;13.0;13.0;14.0;14.0;14.0;14.0;15.0;15.0;16.0;16.0;17.0;17.0;18.0;18.0;18.0;18.0;18.0;19.0;19.0;19.0;19.0;20.0;20.0;20.0;20.0;20.0;20.0;21.0;20.0;21.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;21.0;21.0;21.0;21.0;21.0;21.0;22.0;21.0;21.0;22.0;22.0;22.0;22.0
диоктилфталат_на_бумаге_5_мкл_SID0006;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;3.0;2.0;3.0;3.0;4.0;3.0;4.0;4.0;4.0;5.0;5.0;5.0;6.0;5.0;6.0;6.0;7.0;7.0;7.0;7.0;8.0;8.0;8.0;9.0;9.0;9.0;10.0;10.0;10.0;10.0;10.0;11.0;11.0;11.0;11.0;11.0;11.0;12.0;12.0;12.0;12.0;12.0;13.0;13.0;12.0;13.0;13.0;13.0;13.0;13.0;13.0;14.0;14.0;14.0;14.0;15.0;15.0;15.0;15.0;16.0;15.0;17.0;16.0;18.0;18.0;19.0;18.0;19.0;19.0;19.0;20.0;20.0;19.0;20.0;21.0;20.0;20.0;21.0;20.0;21.0;21.0;20.0;21.0;22.0;22.0;21.0;21.0;21.0;22.0;21.0;22.0;21.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;23.0;22.0;22.0;23.0;22.0;23.0
диоктилфталат_на_бумаге_5_мкл_SID0007;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;0.0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-2.0;-1.0;-2.0;-1.0;-1.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-3.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-3.0;-2.0;-3.0;-3.0;-2.0;-3.0;-2.0
диоктилфталат_на_бумаге_5_мкл_SID0008;0.0;-1.0;0.0;0.0;-1.0;0.0;0.0;-1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;4.0;4.0;3.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0;5.0;5.0;4.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;5.0;5.0;5.0;5.0;6.0;6.0;6.0;5.0;6.0;6.0;6.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;8.0;9.0;9.0;9.0;9.0;9.0;10.0;9.0;10.0;10.0;10.0;10.0;11.0;10.0;11.0;10.0;11.0;11.0;11.0;11.0;11.0;12.0;11.0;12.0;11.0;12.0;11.0;12.0;12.0;11.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;13.0;13.0
диоктилфталат_на_пластизоле_1_мкл_SID0001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;3.0;2.0;3.0;3.0;2.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;4.0;3.0;4.0;3.0;3.0;4.0;4.0;3.0;4.0;3.0;3.0;4.0;3.0;4.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0
диоктилфталат_на_пластизоле_1_мкл_SID0002;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
диоктилфталат_на_пластизоле_1_мкл_SID0003;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0
диоктилфталат_на_пластизоле_1_мкл_SID0004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0
диоктилфталат_на_пластизоле_1_мкл_SID0005;-1.0;-1.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;3.0;4.0;3.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;4.0;4.0;4.0;4.0;4.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;6.0;5.0;6.0;6.0;5.0;5.0;5.0;5.0;5.0;6.0;5.0;5.0;6.0;5.0;6.0;6.0;5.0;5.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;5.0;6.0
диоктилфталат_на_пластизоле_1_мкл_SID0006;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;3.0;4.0;3.0;4.0;3.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;5.0;6.0;5.0;5.0;6.0;6.0;6.0;7.0;6.0;6.0;6.0;7.0;6.0;6.0;7.0;6.0;7.0;6.0;7.0;7.0;6.0;7.0;7.0;6.0;7.0;7.0;6.0;7.0;7.0;7.0;7.0;6.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;6.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0
диоктилфталат_на_пластизоле_1_мкл_SID0007;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-2.0;-1.0;-1.0;-2.0;-1.0;-1.0;-1.0;-2.0;-1.0;-1.0;-1.0;-2.0;-2.0;-2.0;-1.0;-1.0;-1.0;-1.0;-2.0;-2.0;-2.0;-2.0;-2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-2.0;-2.0;-2.0;-2.0;-1.0;-1.0;-1.0;-1.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
диоктилфталат_на_пластизоле_1_мкл_SID0008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0
диоктилфталат_на_пластизоле_3_мкл_SID0001;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;2.0;1.0;2.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0
диоктилфталат_на_пластизоле_3_мкл_SID0002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;3.0;2.0;3.0;3.0;3.0;2.0;3.0;2.0;2.0;3.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;3.0;2.0;2.0;3.0;2.0;3.0;2.0;3.0;2.0;3.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;3.0;2.0;3.0;2.0;3.0;2.0;3.0;2.0;3.0
диоктилфталат_на_пластизоле_3_мкл_SID0003;0.0;1.0;0.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;2.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;3.0;3.0;4.0;4.0;4.0;3.0;3.0;4.0;4.0;3.0;4.0;4.0;3.0;4.0;4.0;4.0;3.0;3.0;4.0;4.0;4.0;4.0;3.0;4.0;3.0;4.0;3.0;4.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0;3.0;4.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
диоктилфталат_на_пластизоле_3_мкл_SID0004;0.0;0.0;0.0;2.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;3.0;4.0;4.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;4.0;4.0;3.0;3.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;3.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;4.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;4.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
диоктилфталат_на_пластизоле_3_мкл_SID0005;-1.0;0.0;0.0;3.0;3.0;3.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;6.0;6.0;6.0;6.0;7.0;6.0;7.0;6.0;6.0;7.0;7.0;6.0;6.0;6.0;6.0;6.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;8.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;8.0;7.0;7.0;7.0;8.0;8.0;7.0;7.0;8.0;7.0;7.0;8.0;8.0;7.0;7.0;8.0;8.0;8.0;8.0;7.0;7.0;7.0;8.0;8.0;8.0;8.0;8.0;7.0;7.0;7.0;8.0;8.0;8.0;7.0;7.0;7.0;7.0;7.0;8.0;7.0;7.0;7.0;7.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;9.0;8.0;8.0;8.0
диоктилфталат_на_пластизоле_3_мкл_SID0006;0.0;0.0;1.0;1.0;3.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;6.0;5.0;6.0;6.0;6.0;7.0;6.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;8.0;8.0;7.0;7.0;7.0;7.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;9.0;8.0;9.0;8.0;9.0;8.0;8.0;8.0;8.0;9.0;8.0;8.0;9.0;8.0;8.0;9.0;9.0;9.0;8.0;8.0;8.0;9.0;9.0;8.0;8.0;8.0;8.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;8.0;8.0;8.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;8.0;8.0;8.0;8.0;9.0;9.0;9.0;9.0;9.0;8.0;8.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;8.0;8.0;9.0;9.0;9.0
диоктилфталат_на_пластизоле_3_мкл_SID0007;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0
диоктилфталат_на_пластизоле_3_мкл_SID0008;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;3.0;2.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;3.0;4.0;4.0;3.0;3.0;4.0;3.0;3.0;4.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;4.0;4.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0
